IdForma,Stats,Valor (base)
163 - A,Sp Atk,36
163 - A,Sp Def,56
163 - A,Spd,50
164 - A,Hp,100
164 - A,Atk,50
164 - A,Def,50
164 - A,Sp Atk,86
164 - A,Sp Def,96
164 - A,Spd,70
165 - A,Hp,40
165 - A,Atk,20
165 - A,Def,30
165 - A,Sp Atk,40
165 - A,Sp Def,80
165 - A,Spd,55
166 - A,Hp,55
166 - A,Atk,35
166 - A,Def,50
166 - A,Sp Atk,55
166 - A,Sp Def,110
166 - A,Spd,85
167 - A,Hp,40
167 - A,Atk,60
167 - A,Def,40
167 - A,Sp Atk,40
167 - A,Sp Def,40
167 - A,Spd,30
168 - A,Hp,70
168 - A,Atk,90
168 - A,Def,70
168 - A,Sp Atk,60
168 - A,Sp Def,70
168 - A,Spd,40
169 - A,Hp,85
169 - A,Atk,90
169 - A,Def,80
169 - A,Sp Atk,70
169 - A,Sp Def,80
169 - A,Spd,130
170 - A,Hp,75
170 - A,Atk,38
170 - A,Def,38
170 - A,Sp Atk,56
170 - A,Sp Def,56
170 - A,Spd,67
171 - A,Hp,125
171 - A,Atk,58
171 - A,Def,58
171 - A,Sp Atk,76
171 - A,Sp Def,76
171 - A,Spd,67
172 - A,Hp,20
172 - A,Atk,40
172 - A,Def,15
172 - A,Sp Atk,35
172 - A,Sp Def,35
172 - A,Spd,60
173 - A,Hp,50
173 - A,Atk,25
173 - A,Def,28
173 - A,Sp Atk,45
173 - A,Sp Def,55
173 - A,Spd,15
174 - A,Hp,90
174 - A,Atk,30
174 - A,Def,15
174 - A,Sp Atk,40
174 - A,Sp Def,20
174 - A,Spd,15
175 - A,Hp,35
175 - A,Atk,20
175 - A,Def,65
175 - A,Sp Atk,40
175 - A,Sp Def,65
175 - A,Spd,20
176 - A,Hp,55
176 - A,Atk,40
176 - A,Def,85
176 - A,Sp Atk,80
176 - A,Sp Def,105
176 - A,Spd,40
177 - A,Hp,40
177 - A,Atk,50
177 - A,Def,45
177 - A,Sp Atk,70
177 - A,Sp Def,45
177 - A,Spd,70
178 - A,Hp,65
178 - A,Atk,75
178 - A,Def,70
178 - A,Sp Atk,95
178 - A,Sp Def,70
178 - A,Spd,95
179 - A,Hp,55
179 - A,Atk,40
179 - A,Def,40
179 - A,Sp Atk,65
179 - A,Sp Def,45
179 - A,Spd,35
180 - A,Hp,70
180 - A,Atk,55
180 - A,Def,55
180 - A,Sp Atk,80
180 - A,Sp Def,60
180 - A,Spd,45
181 - A,Hp,90
181 - A,Atk,75
181 - A,Def,85
181 - A,Sp Atk,115
181 - A,Sp Def,90
181 - A,Spd,55
182 - A,Hp,75
182 - A,Atk,80
182 - A,Def,95
182 - A,Sp Atk,90
182 - A,Sp Def,100
182 - A,Spd,50
183 - A,Hp,70
183 - A,Atk,20
183 - A,Def,50
183 - A,Sp Atk,20
183 - A,Sp Def,50
183 - A,Spd,40
184 - A,Hp,100
184 - A,Atk,50
184 - A,Def,80
184 - A,Sp Atk,60
184 - A,Sp Def,80
184 - A,Spd,50
185 - A,Hp,70
185 - A,Atk,100
185 - A,Def,115
185 - A,Sp Atk,30
185 - A,Sp Def,65
185 - A,Spd,30
186 - A,Hp,90
186 - A,Atk,75
186 - A,Def,75
186 - A,Sp Atk,90
186 - A,Sp Def,100
186 - A,Spd,70
187 - A,Hp,35
187 - A,Atk,35
187 - A,Def,40
187 - A,Sp Atk,35
187 - A,Sp Def,55
187 - A,Spd,50
188 - A,Hp,55
188 - A,Atk,45
188 - A,Def,50
188 - A,Sp Atk,45
188 - A,Sp Def,65
188 - A,Spd,80
189 - A,Hp,75
189 - A,Atk,55
189 - A,Def,70
189 - A,Sp Atk,55
189 - A,Sp Def,95
189 - A,Spd,110
190 - A,Hp,55
190 - A,Atk,70
190 - A,Def,55
190 - A,Sp Atk,40
190 - A,Sp Def,55
190 - A,Spd,85
191 - A,Hp,30
191 - A,Atk,30
191 - A,Def,30
191 - A,Sp Atk,30
191 - A,Sp Def,30
191 - A,Spd,30
192 - A,Hp,75
192 - A,Atk,75
192 - A,Def,55
192 - A,Sp Atk,105
192 - A,Sp Def,85
192 - A,Spd,30
193 - A,Hp,65
193 - A,Atk,65
193 - A,Def,45
193 - A,Sp Atk,75
193 - A,Sp Def,45
193 - A,Spd,95
194 - A,Hp,55
194 - A,Atk,45
194 - A,Def,45
194 - A,Sp Atk,25
194 - A,Sp Def,25
194 - A,Spd,15
194 - B,Hp,55
194 - B,Atk,45
194 - B,Def,45
194 - B,Sp Atk,25
194 - B,Sp Def,25
194 - B,Spd,15
195 - A,Hp,95
195 - A,Atk,85
195 - A,Def,85
195 - A,Sp Atk,65
195 - A,Sp Def,65
195 - A,Spd,35
196 - A,Hp,65
196 - A,Atk,65
196 - A,Def,60
196 - A,Sp Atk,130
196 - A,Sp Def,95
196 - A,Spd,110
197 - A,Hp,95
197 - A,Atk,65
197 - A,Def,110
197 - A,Sp Atk,60
197 - A,Sp Def,130
197 - A,Spd,65
198 - A,Hp,60
198 - A,Atk,85
198 - A,Def,42
198 - A,Sp Atk,85
198 - A,Sp Def,42
198 - A,Spd,91
199 - A,Hp,95
199 - A,Atk,75
199 - A,Def,80
199 - A,Sp Atk,100
199 - A,Sp Def,110
199 - A,Spd,30
199 - B,Hp,95
199 - B,Atk,65
199 - B,Def,80
199 - B,Sp Atk,110
199 - B,Sp Def,110
199 - B,Spd,30
200 - A,Hp,60
200 - A,Atk,60
200 - A,Def,60
200 - A,Sp Atk,85
200 - A,Sp Def,85
200 - A,Spd,85
201 - A,Hp,48
201 - A,Atk,72
201 - A,Def,48
201 - A,Sp Atk,72
201 - A,Sp Def,48
201 - A,Spd,48
202 - A,Hp,190
202 - A,Atk,33
202 - A,Def,58
202 - A,Sp Atk,33
202 - A,Sp Def,58
202 - A,Spd,33
203 - A,Hp,70
203 - A,Atk,80
203 - A,Def,65
203 - A,Sp Atk,90
203 - A,Sp Def,65
203 - A,Spd,85
204 - A,Hp,50
204 - A,Atk,65
204 - A,Def,90
204 - A,Sp Atk,35
204 - A,Sp Def,35
204 - A,Spd,15
205 - A,Hp,75
205 - A,Atk,90
205 - A,Def,140
205 - A,Sp Atk,60
205 - A,Sp Def,60
205 - A,Spd,40
206 - A,Hp,100
206 - A,Atk,70
206 - A,Def,70
206 - A,Sp Atk,65
206 - A,Sp Def,65
206 - A,Spd,45
207 - A,Hp,65
207 - A,Atk,75
207 - A,Def,105
207 - A,Sp Atk,35
207 - A,Sp Def,65
207 - A,Spd,85
208 - A,Hp,75
208 - A,Atk,85
208 - A,Def,200
208 - A,Sp Atk,55
208 - A,Sp Def,65
208 - A,Spd,30
209 - A,Hp,60
209 - A,Atk,80
209 - A,Def,50
209 - A,Sp Atk,40
209 - A,Sp Def,40
209 - A,Spd,30
210 - A,Hp,90
210 - A,Atk,120
210 - A,Def,75
210 - A,Sp Atk,60
210 - A,Sp Def,60
210 - A,Spd,45
211 - A,Hp,65
211 - A,Atk,95
211 - A,Def,85
211 - A,Sp Atk,55
211 - A,Sp Def,55
211 - A,Spd,85
211 - B,Hp,65
211 - B,Atk,95
211 - B,Def,85
211 - B,Sp Atk,55
211 - B,Sp Def,55
211 - B,Spd,85
212 - A,Hp,70
212 - A,Atk,130
212 - A,Def,100
212 - A,Sp Atk,55
212 - A,Sp Def,80
212 - A,Spd,65
213 - A,Hp,20
213 - A,Atk,10
213 - A,Def,230
213 - A,Sp Atk,10
213 - A,Sp Def,230
213 - A,Spd,5
214 - A,Hp,80
214 - A,Atk,125
214 - A,Def,75
214 - A,Sp Atk,40
214 - A,Sp Def,95
214 - A,Spd,85
215 - A,Hp,55
215 - A,Atk,95
215 - A,Def,55
215 - A,Sp Atk,35
215 - A,Sp Def,75
215 - A,Spd,115
215 - B,Hp,55
215 - B,Atk,95
215 - B,Def,55
215 - B,Sp Atk,35
215 - B,Sp Def,75
215 - B,Spd,115
216 - A,Hp,60
216 - A,Atk,80
216 - A,Def,50
216 - A,Sp Atk,50
216 - A,Sp Def,50
216 - A,Spd,40
217 - A,Hp,90
217 - A,Atk,130
217 - A,Def,75
217 - A,Sp Atk,75
217 - A,Sp Def,75
217 - A,Spd,55
218 - A,Hp,40
218 - A,Atk,40
218 - A,Def,40
218 - A,Sp Atk,70
218 - A,Sp Def,40
218 - A,Spd,20
219 - A,Hp,60
219 - A,Atk,50
219 - A,Def,120
219 - A,Sp Atk,90
219 - A,Sp Def,80
219 - A,Spd,30
220 - A,Hp,50
220 - A,Atk,50
220 - A,Def,40
220 - A,Sp Atk,30
220 - A,Sp Def,30
220 - A,Spd,50
221 - A,Hp,100
221 - A,Atk,100
221 - A,Def,80
221 - A,Sp Atk,60
221 - A,Sp Def,60
221 - A,Spd,50
222 - A,Hp,65
222 - A,Atk,55
222 - A,Def,95
222 - A,Sp Atk,65
222 - A,Sp Def,95
222 - A,Spd,35
222 - B,Hp,60
222 - B,Atk,55
222 - B,Def,100
222 - B,Sp Atk,65
222 - B,Sp Def,100
222 - B,Spd,30
223 - A,Hp,35
223 - A,Atk,65
223 - A,Def,35
223 - A,Sp Atk,65
223 - A,Sp Def,35
223 - A,Spd,65
224 - A,Hp,75
224 - A,Atk,105
224 - A,Def,75
224 - A,Sp Atk,105
224 - A,Sp Def,75
224 - A,Spd,45
225 - A,Hp,45
225 - A,Atk,55
225 - A,Def,45
225 - A,Sp Atk,65
225 - A,Sp Def,45
225 - A,Spd,75
226 - A,Hp,85
226 - A,Atk,40
226 - A,Def,70
226 - A,Sp Atk,80
226 - A,Sp Def,140
226 - A,Spd,70
227 - A,Hp,65
227 - A,Atk,80
227 - A,Def,140
227 - A,Sp Atk,40
227 - A,Sp Def,70
227 - A,Spd,70
228 - A,Hp,45
228 - A,Atk,60
228 - A,Def,30
228 - A,Sp Atk,80
228 - A,Sp Def,50
228 - A,Spd,65
229 - A,Hp,75
229 - A,Atk,90
229 - A,Def,50
229 - A,Sp Atk,110
229 - A,Sp Def,80
229 - A,Spd,95
230 - A,Hp,75
230 - A,Atk,95
230 - A,Def,95
230 - A,Sp Atk,95
230 - A,Sp Def,95
230 - A,Spd,85
231 - A,Hp,90
231 - A,Atk,60
231 - A,Def,60
231 - A,Sp Atk,40
231 - A,Sp Def,40
231 - A,Spd,40
232 - A,Hp,90
232 - A,Atk,120
232 - A,Def,120
232 - A,Sp Atk,60
232 - A,Sp Def,60
232 - A,Spd,50
233 - A,Hp,85
233 - A,Atk,80
233 - A,Def,90
233 - A,Sp Atk,105
233 - A,Sp Def,95
233 - A,Spd,60
234 - A,Hp,73
234 - A,Atk,95
234 - A,Def,62
234 - A,Sp Atk,85
234 - A,Sp Def,65
234 - A,Spd,85
235 - A,Hp,55
235 - A,Atk,20
235 - A,Def,35
235 - A,Sp Atk,20
235 - A,Sp Def,45
235 - A,Spd,75
236 - A,Hp,35
236 - A,Atk,35
236 - A,Def,35
236 - A,Sp Atk,35
236 - A,Sp Def,35
236 - A,Spd,35
237 - A,Hp,50
237 - A,Atk,95
237 - A,Def,95
237 - A,Sp Atk,35
237 - A,Sp Def,110
237 - A,Spd,70
238 - A,Hp,45
238 - A,Atk,30
238 - A,Def,15
238 - A,Sp Atk,85
238 - A,Sp Def,65
238 - A,Spd,65
239 - A,Hp,45
239 - A,Atk,63
239 - A,Def,37
239 - A,Sp Atk,65
239 - A,Sp Def,55
239 - A,Spd,95
240 - A,Hp,45
240 - A,Atk,75
240 - A,Def,37
240 - A,Sp Atk,70
240 - A,Sp Def,55
240 - A,Spd,83
241 - A,Hp,95
241 - A,Atk,80
241 - A,Def,105
241 - A,Sp Atk,40
241 - A,Sp Def,70
241 - A,Spd,100
242 - A,Hp,255
242 - A,Atk,10
242 - A,Def,10
242 - A,Sp Atk,75
242 - A,Sp Def,135
242 - A,Spd,55
243 - A,Hp,90
243 - A,Atk,85
243 - A,Def,75
243 - A,Sp Atk,115
243 - A,Sp Def,100
243 - A,Spd,115
244 - A,Hp,115
244 - A,Atk,115
244 - A,Def,85
244 - A,Sp Atk,90
244 - A,Sp Def,75
244 - A,Spd,100
245 - A,Hp,100
245 - A,Atk,75
245 - A,Def,115
245 - A,Sp Atk,90
245 - A,Sp Def,115
245 - A,Spd,85
246 - A,Hp,50
246 - A,Atk,64
246 - A,Def,50
246 - A,Sp Atk,45
246 - A,Sp Def,50
246 - A,Spd,41
247 - A,Hp,70
247 - A,Atk,84
247 - A,Def,70
247 - A,Sp Atk,65
247 - A,Sp Def,70
247 - A,Spd,51
248 - A,Hp,100
248 - A,Atk,134
248 - A,Def,110
248 - A,Sp Atk,95
248 - A,Sp Def,100
248 - A,Spd,61
249 - A,Hp,106
249 - A,Atk,90
249 - A,Def,130
249 - A,Sp Atk,90
249 - A,Sp Def,154
249 - A,Spd,110
250 - A,Hp,106
250 - A,Atk,130
250 - A,Def,90
250 - A,Sp Atk,110
250 - A,Sp Def,154
250 - A,Spd,90
251 - A,Hp,100
251 - A,Atk,100
251 - A,Def,100
251 - A,Sp Atk,100
251 - A,Sp Def,100
251 - A,Spd,100
252 - A,Hp,40
252 - A,Atk,45
252 - A,Def,35
252 - A,Sp Atk,65
252 - A,Sp Def,55
252 - A,Spd,70
253 - A,Hp,50
253 - A,Atk,65
253 - A,Def,45
253 - A,Sp Atk,85
253 - A,Sp Def,65
253 - A,Spd,95
254 - A,Hp,70
254 - A,Atk,85
254 - A,Def,65
254 - A,Sp Atk,105
254 - A,Sp Def,85
254 - A,Spd,120
255 - A,Hp,45
255 - A,Atk,60
255 - A,Def,40
255 - A,Sp Atk,70
255 - A,Sp Def,50
255 - A,Spd,45
256 - A,Hp,60
256 - A,Atk,85
256 - A,Def,60
256 - A,Sp Atk,85
256 - A,Sp Def,60
256 - A,Spd,55
257 - A,Hp,80
257 - A,Atk,120
257 - A,Def,70
257 - A,Sp Atk,110
257 - A,Sp Def,70
257 - A,Spd,80
258 - A,Hp,50
258 - A,Atk,70
258 - A,Def,50
258 - A,Sp Atk,50
258 - A,Sp Def,50
258 - A,Spd,40
259 - A,Hp,70
259 - A,Atk,85
259 - A,Def,70
259 - A,Sp Atk,60
259 - A,Sp Def,70
259 - A,Spd,50
260 - A,Hp,100
260 - A,Atk,110
260 - A,Def,90
260 - A,Sp Atk,85
260 - A,Sp Def,90
260 - A,Spd,60
261 - A,Hp,35
261 - A,Atk,55
261 - A,Def,35
261 - A,Sp Atk,30
261 - A,Sp Def,30
261 - A,Spd,35
262 - A,Hp,70
262 - A,Atk,90
262 - A,Def,70
262 - A,Sp Atk,60
262 - A,Sp Def,60
262 - A,Spd,70
263 - A,Hp,38
263 - A,Atk,30
263 - A,Def,41
263 - A,Sp Atk,30
263 - A,Sp Def,41
263 - A,Spd,60
263 - B,Hp,38
263 - B,Atk,30
263 - B,Def,41
263 - B,Sp Atk,30
263 - B,Sp Def,41
263 - B,Spd,60
264 - A,Hp,78
264 - A,Atk,70
264 - A,Def,61
264 - A,Sp Atk,50
264 - A,Sp Def,61
264 - A,Spd,100
264 - B,Hp,78
264 - B,Atk,70
264 - B,Def,61
264 - B,Sp Atk,50
264 - B,Sp Def,61
264 - B,Spd,100
265 - A,Hp,45
265 - A,Atk,45
265 - A,Def,35
265 - A,Sp Atk,20
265 - A,Sp Def,30
265 - A,Spd,20
266 - A,Hp,50
266 - A,Atk,35
266 - A,Def,55
266 - A,Sp Atk,25
266 - A,Sp Def,25
266 - A,Spd,15
267 - A,Hp,60
267 - A,Atk,70
267 - A,Def,50
267 - A,Sp Atk,100
267 - A,Sp Def,50
267 - A,Spd,65
268 - A,Hp,50
268 - A,Atk,35
268 - A,Def,55
268 - A,Sp Atk,25
268 - A,Sp Def,25
268 - A,Spd,15
269 - A,Hp,60
269 - A,Atk,50
269 - A,Def,70
269 - A,Sp Atk,50
269 - A,Sp Def,90
269 - A,Spd,65
270 - A,Hp,40
270 - A,Atk,30
270 - A,Def,30
270 - A,Sp Atk,40
270 - A,Sp Def,50
270 - A,Spd,30
271 - A,Hp,60
271 - A,Atk,50
271 - A,Def,50
271 - A,Sp Atk,60
271 - A,Sp Def,70
271 - A,Spd,50
272 - A,Hp,80
272 - A,Atk,70
272 - A,Def,70
272 - A,Sp Atk,90
272 - A,Sp Def,100
272 - A,Spd,70
273 - A,Hp,40
273 - A,Atk,40
273 - A,Def,50
273 - A,Sp Atk,30
273 - A,Sp Def,30
273 - A,Spd,30
274 - A,Hp,70
274 - A,Atk,70
274 - A,Def,40
274 - A,Sp Atk,60
274 - A,Sp Def,40
274 - A,Spd,60
275 - A,Hp,90
275 - A,Atk,100
275 - A,Def,60
275 - A,Sp Atk,90
275 - A,Sp Def,60
275 - A,Spd,80
276 - A,Hp,40
276 - A,Atk,55
276 - A,Def,30
276 - A,Sp Atk,30
276 - A,Sp Def,30
276 - A,Spd,85
277 - A,Hp,60
277 - A,Atk,85
277 - A,Def,60
277 - A,Sp Atk,75
277 - A,Sp Def,50
277 - A,Spd,125
278 - A,Hp,40
278 - A,Atk,30
278 - A,Def,30
278 - A,Sp Atk,55
278 - A,Sp Def,30
278 - A,Spd,85
279 - A,Hp,60
279 - A,Atk,50
279 - A,Def,100
279 - A,Sp Atk,95
279 - A,Sp Def,70
279 - A,Spd,65
280 - A,Hp,28
280 - A,Atk,25
280 - A,Def,25
280 - A,Sp Atk,45
280 - A,Sp Def,35
280 - A,Spd,40
281 - A,Hp,38
281 - A,Atk,35
281 - A,Def,35
281 - A,Sp Atk,65
281 - A,Sp Def,55
281 - A,Spd,50
282 - A,Hp,68
282 - A,Atk,65
282 - A,Def,65
282 - A,Sp Atk,125
282 - A,Sp Def,115
282 - A,Spd,80
283 - A,Hp,40
283 - A,Atk,30
283 - A,Def,32
283 - A,Sp Atk,50
283 - A,Sp Def,52
283 - A,Spd,65
284 - A,Hp,70
284 - A,Atk,60
284 - A,Def,62
284 - A,Sp Atk,100
284 - A,Sp Def,82
284 - A,Spd,80
285 - A,Hp,60
285 - A,Atk,40
285 - A,Def,60
285 - A,Sp Atk,40
285 - A,Sp Def,60
285 - A,Spd,35
286 - A,Hp,60
286 - A,Atk,130
286 - A,Def,80
286 - A,Sp Atk,60
286 - A,Sp Def,60
286 - A,Spd,70
287 - A,Hp,60
287 - A,Atk,60
287 - A,Def,60
287 - A,Sp Atk,35
287 - A,Sp Def,35
287 - A,Spd,30
288 - A,Hp,80
288 - A,Atk,80
288 - A,Def,80
288 - A,Sp Atk,55
288 - A,Sp Def,55
288 - A,Spd,90
289 - A,Hp,150
289 - A,Atk,160
289 - A,Def,100
289 - A,Sp Atk,95
289 - A,Sp Def,65
289 - A,Spd,100
290 - A,Hp,31
290 - A,Atk,45
290 - A,Def,90
290 - A,Sp Atk,30
290 - A,Sp Def,30
290 - A,Spd,40
291 - A,Hp,61
291 - A,Atk,90
291 - A,Def,45
291 - A,Sp Atk,50
291 - A,Sp Def,50
291 - A,Spd,160
292 - A,Hp,1
292 - A,Atk,90
292 - A,Def,45
292 - A,Sp Atk,30
292 - A,Sp Def,30
292 - A,Spd,40
293 - A,Hp,64
293 - A,Atk,51
293 - A,Def,23
293 - A,Sp Atk,51
293 - A,Sp Def,23
293 - A,Spd,28
294 - A,Hp,84
294 - A,Atk,71
294 - A,Def,43
294 - A,Sp Atk,71
294 - A,Sp Def,43
294 - A,Spd,48
295 - A,Hp,104
295 - A,Atk,91
295 - A,Def,63
295 - A,Sp Atk,91
295 - A,Sp Def,73
295 - A,Spd,68
296 - A,Hp,72
296 - A,Atk,60
296 - A,Def,30
296 - A,Sp Atk,20
296 - A,Sp Def,30
296 - A,Spd,25
297 - A,Hp,144
297 - A,Atk,120
297 - A,Def,60
297 - A,Sp Atk,40
297 - A,Sp Def,60
297 - A,Spd,50
298 - A,Hp,50
298 - A,Atk,20
298 - A,Def,40
298 - A,Sp Atk,20
298 - A,Sp Def,40
298 - A,Spd,20
299 - A,Hp,30
299 - A,Atk,45
299 - A,Def,135
299 - A,Sp Atk,45
299 - A,Sp Def,90
299 - A,Spd,30
300 - A,Hp,50
300 - A,Atk,45
300 - A,Def,45
300 - A,Sp Atk,35
300 - A,Sp Def,35
300 - A,Spd,50
301 - A,Hp,70
301 - A,Atk,65
301 - A,Def,65
301 - A,Sp Atk,55
301 - A,Sp Def,55
301 - A,Spd,90
302 - A,Hp,50
302 - A,Atk,75
302 - A,Def,75
302 - A,Sp Atk,65
302 - A,Sp Def,65
302 - A,Spd,50
303 - A,Hp,50
303 - A,Atk,85
303 - A,Def,85
303 - A,Sp Atk,55
303 - A,Sp Def,55
303 - A,Spd,50
304 - A,Hp,50
304 - A,Atk,70
304 - A,Def,100
304 - A,Sp Atk,40
304 - A,Sp Def,40
304 - A,Spd,30
305 - A,Hp,60
305 - A,Atk,90
305 - A,Def,140
305 - A,Sp Atk,50
305 - A,Sp Def,50
305 - A,Spd,40
306 - A,Hp,70
306 - A,Atk,110
306 - A,Def,180
306 - A,Sp Atk,60
306 - A,Sp Def,60
306 - A,Spd,50
307 - A,Hp,30
307 - A,Atk,40
307 - A,Def,55
307 - A,Sp Atk,40
307 - A,Sp Def,55
307 - A,Spd,60
308 - A,Hp,60
308 - A,Atk,60
308 - A,Def,75
308 - A,Sp Atk,60
308 - A,Sp Def,75
308 - A,Spd,80
309 - A,Hp,40
309 - A,Atk,45
309 - A,Def,40
309 - A,Sp Atk,65
309 - A,Sp Def,40
309 - A,Spd,65
310 - A,Hp,70
310 - A,Atk,75
310 - A,Def,60
310 - A,Sp Atk,105
310 - A,Sp Def,60
310 - A,Spd,105
311 - A,Hp,60
311 - A,Atk,50
311 - A,Def,40
311 - A,Sp Atk,85
311 - A,Sp Def,75
311 - A,Spd,95
312 - A,Hp,60
312 - A,Atk,40
312 - A,Def,50
312 - A,Sp Atk,75
312 - A,Sp Def,85
312 - A,Spd,95
313 - A,Hp,65
313 - A,Atk,73
313 - A,Def,75
313 - A,Sp Atk,47
313 - A,Sp Def,85
313 - A,Spd,85
314 - A,Hp,65
314 - A,Atk,47
314 - A,Def,75
314 - A,Sp Atk,73
314 - A,Sp Def,85
314 - A,Spd,85
315 - A,Hp,50
315 - A,Atk,60
315 - A,Def,45
315 - A,Sp Atk,100
315 - A,Sp Def,80
315 - A,Spd,65
316 - A,Hp,70
316 - A,Atk,43
316 - A,Def,53
316 - A,Sp Atk,43
316 - A,Sp Def,53
316 - A,Spd,40
317 - A,Hp,100
317 - A,Atk,73
317 - A,Def,83
317 - A,Sp Atk,73
317 - A,Sp Def,83
317 - A,Spd,55
318 - A,Hp,45
318 - A,Atk,90
318 - A,Def,20
318 - A,Sp Atk,65
318 - A,Sp Def,20
318 - A,Spd,65
319 - A,Hp,70
319 - A,Atk,120
319 - A,Def,40
319 - A,Sp Atk,95
319 - A,Sp Def,40
319 - A,Spd,95
320 - A,Hp,130
320 - A,Atk,70
320 - A,Def,35
320 - A,Sp Atk,70
320 - A,Sp Def,35
320 - A,Spd,60
321 - A,Hp,170
321 - A,Atk,90
321 - A,Def,45
321 - A,Sp Atk,90
321 - A,Sp Def,45
321 - A,Spd,60
322 - A,Hp,60
322 - A,Atk,60
322 - A,Def,40
322 - A,Sp Atk,65
322 - A,Sp Def,45
322 - A,Spd,35
323 - A,Hp,70
323 - A,Atk,100
323 - A,Def,70
323 - A,Sp Atk,105
323 - A,Sp Def,75
323 - A,Spd,40
324 - A,Hp,70
324 - A,Atk,85
324 - A,Def,140
324 - A,Sp Atk,85
324 - A,Sp Def,70
324 - A,Spd,20
325 - A,Hp,60
325 - A,Atk,25
325 - A,Def,35
325 - A,Sp Atk,70
325 - A,Sp Def,80
325 - A,Spd,60
326 - A,Hp,80
326 - A,Atk,45
326 - A,Def,65
326 - A,Sp Atk,90
326 - A,Sp Def,110
326 - A,Spd,80
327 - A,Hp,60
327 - A,Atk,60
327 - A,Def,60
327 - A,Sp Atk,60
327 - A,Sp Def,60
327 - A,Spd,60
328 - A,Hp,45
328 - A,Atk,100
328 - A,Def,45
328 - A,Sp Atk,45
328 - A,Sp Def,45
328 - A,Spd,10
329 - A,Hp,50
329 - A,Atk,70
329 - A,Def,50
329 - A,Sp Atk,50
329 - A,Sp Def,50
329 - A,Spd,70
330 - A,Hp,80
330 - A,Atk,100
330 - A,Def,80
330 - A,Sp Atk,80
330 - A,Sp Def,80
330 - A,Spd,100
331 - A,Hp,50
331 - A,Atk,85
331 - A,Def,40
331 - A,Sp Atk,85
331 - A,Sp Def,40
331 - A,Spd,35
332 - A,Hp,70
332 - A,Atk,115
332 - A,Def,60
332 - A,Sp Atk,115
332 - A,Sp Def,60
332 - A,Spd,55
333 - A,Hp,45
333 - A,Atk,40
333 - A,Def,60
333 - A,Sp Atk,40
333 - A,Sp Def,75
333 - A,Spd,50
334 - A,Hp,75
334 - A,Atk,70
334 - A,Def,90
334 - A,Sp Atk,70
334 - A,Sp Def,105
334 - A,Spd,80
335 - A,Hp,73
335 - A,Atk,115
335 - A,Def,60
335 - A,Sp Atk,60
335 - A,Sp Def,60
335 - A,Spd,90
336 - A,Hp,73
336 - A,Atk,100
336 - A,Def,60
336 - A,Sp Atk,100
336 - A,Sp Def,60
336 - A,Spd,65
337 - A,Hp,90
337 - A,Atk,55
337 - A,Def,65
337 - A,Sp Atk,95
337 - A,Sp Def,85
337 - A,Spd,70
338 - A,Hp,90
338 - A,Atk,95
338 - A,Def,85
338 - A,Sp Atk,55
338 - A,Sp Def,65
338 - A,Spd,70
339 - A,Hp,50
339 - A,Atk,48
339 - A,Def,43
339 - A,Sp Atk,46
339 - A,Sp Def,41
339 - A,Spd,60
340 - A,Hp,110
340 - A,Atk,78
340 - A,Def,73
340 - A,Sp Atk,76
340 - A,Sp Def,71
340 - A,Spd,60
341 - A,Hp,43
341 - A,Atk,80
341 - A,Def,65
341 - A,Sp Atk,50
341 - A,Sp Def,35
341 - A,Spd,35
342 - A,Hp,63
342 - A,Atk,120
342 - A,Def,85
342 - A,Sp Atk,90
342 - A,Sp Def,55
342 - A,Spd,55
343 - A,Hp,40
343 - A,Atk,40
343 - A,Def,55
343 - A,Sp Atk,40
343 - A,Sp Def,70
343 - A,Spd,55
344 - A,Hp,60
344 - A,Atk,70
344 - A,Def,105
344 - A,Sp Atk,70
344 - A,Sp Def,120
344 - A,Spd,75
345 - A,Hp,66
345 - A,Atk,41
345 - A,Def,77
345 - A,Sp Atk,61
345 - A,Sp Def,87
345 - A,Spd,23
346 - A,Hp,86
346 - A,Atk,81
346 - A,Def,97
346 - A,Sp Atk,81
346 - A,Sp Def,107
346 - A,Spd,43
347 - A,Hp,45
347 - A,Atk,95
347 - A,Def,50
347 - A,Sp Atk,40
347 - A,Sp Def,50
347 - A,Spd,75
348 - A,Hp,75
348 - A,Atk,125
348 - A,Def,100
348 - A,Sp Atk,70
348 - A,Sp Def,80
348 - A,Spd,45
349 - A,Hp,20
349 - A,Atk,15
349 - A,Def,20
349 - A,Sp Atk,10
349 - A,Sp Def,55
349 - A,Spd,80
350 - A,Hp,95
350 - A,Atk,60
350 - A,Def,79
350 - A,Sp Atk,100
350 - A,Sp Def,125
350 - A,Spd,81
351 - A,Hp,70
351 - A,Atk,70
351 - A,Def,70
351 - A,Sp Atk,70
351 - A,Sp Def,70
351 - A,Spd,70
351 - B,Hp,70
351 - B,Atk,70
351 - B,Def,70
351 - B,Sp Atk,70
351 - B,Sp Def,70
351 - B,Spd,70
351 - C,Hp,70
351 - C,Atk,70
351 - C,Def,70
351 - C,Sp Atk,70
351 - C,Sp Def,70
351 - C,Spd,70
351 - D,Hp,70
351 - D,Atk,70
351 - D,Def,70
351 - D,Sp Atk,70
351 - D,Sp Def,70
351 - D,Spd,70
352 - A,Hp,60
352 - A,Atk,90
352 - A,Def,70
352 - A,Sp Atk,60
352 - A,Sp Def,120
352 - A,Spd,40
353 - A,Hp,44
