IdForma,Descripción,Tamaño (CM),Peso (KG)
230 - A,Dicen que suele esconderse en cuevas submarinas. Puede crear torbellinos al bostezar.,180,152
231 - A,"Como muestra de afecto, golpea con su trompa. Aunque es tan fuerte que te mandará lejos.",50,33.5
232 - A,"Tiene afilados y duros colmillos, y una gruesa piel. Su Placaje es tan fuerte que puede derribar una casa.",110,120
233 - A,"La investigación mejoró sus habilidades. A veces, puede actuar de forma no programada.",60,32.5
234 - A,Mirar a su cornamenta provoca una extraña sensación de pérdida de equilibrio.,140,71.2
235 - A,Marca su territorio usando su cola a modo de pincel. Ha hecho más de 5000 marcas diferentes.,120,58
236 - A,"Ataca siempre con mucha energía. Para fortalecerse a sí mismo, sigue luchando aunque pierda.",70,21
237 - A,Gira a gran velocidad al luchar. La fuerza centrífuga multiplica su poder de destrucción por diez.,140,48
238 - A,Sus labios son la parte más sensible de su cuerpo. Siempre los usa para examinar las cosas.,40,6
239 - A,"Genera electricidad girando los brazos. No obstante, es incapaz de almacenar la energía creada.",60,23.5
240 - A,"Es pequeño, pero su cuerpo puede llegar a alcanzar 600 °C. Cuando inspira y espira, expulsa llamas por la nariz y por la boca.",70,21.4
241 - A,"Si tiene crías, la leche que produce contiene muchos más nutrientes de lo normal.",120,75.5
242 - A,"Los huevos que pone están llenos de felicidad. Solo con probar un poquito de uno, cualquiera sonríe.",150,46.8
243 - A,Las nubes de lluvia que lleva le permiten lanzar rayos a voluntad. Dicen que apareció con un rayo.,190,178
244 - A,Un Pokémon que corre por la tierra. Dicen que siempre nace uno cuando aparece un nuevo volcán.,210,198
245 - A,Recorre el mundo para purificar agua contaminada. Corre veloz con el viento del norte.,200,187
246 - A,"Se alimenta de tierra. Después de comer una gran montaña, se duerme y empieza a crecer.",60,72
247 - A,Su cuerpo es duro como la roca. Se autopropulsa como un cohete soltando los gases de su interior.,120,152
248 - A,En una de sus poderosas garras tiene el poder de hacer temblar la tierra y las montañas.,200,202
249 - A,"Duerme en una dorsal marina. Si bate sus alas, puede causar tormentas de 40 días.",520,216
250 - A,Cuenta la leyenda que brilla en siete colores. Dicen que deja un arcoíris tras de sí al volar.,380,199
251 - A,Este Pokémon vaga por el tiempo. La hierba y los árboles crecen por los campos por donde pasa.,60,5
252 - A,Escala superficies verticales muy rápido. Con la cola detecta la humedad y prevé el tiempo que va a hacer.,50,5
253 - A,Los desarrollados músculos que tiene en las extremidades inferiores le hacen ser muy ágil y le permiten dar grandes saltos.,90,21.6
254 - A,Las hojas de sus brazos pueden cortar gruesos árboles. Invencible en los combates en la jungla.,170,52.2
255 - A,"En su interior, guarda una llama que arde sin cesar. Si se le abraza, se nota que tiene una temperatura muy alta.",40,2.5
256 - A,Su habilidad le permite dar diez patadas por segundo. Lanza potentes gritos para intimidar.,90,19.5
257 - A,Puede saltar edificios de 30 plantas. Con sus golpes de fuego quema a sus rivales.,190,52
258 - A,"Tiene una larga cola que le propulsa por el agua con mucha potencia. A pesar de ser pequeño, tiene mucha fuerza.",40,7.6
259 - A,"Sus piernas robustas impiden que pierda el equilibrio y caiga, incluso en el barro. Duerme bajo la arena.",70,28
260 - A,Con sus brazos duros como el acero puede partir rocas gigantescas en mil pedazos de un solo golpe.,150,81.9
261 - A,"Es muy persistente. Si se fija en una presa, no la dejará hasta que caiga agotada.",50,13.6
262 - A,Siempre obedece a los buenos Entrenadores. Está acostumbrado a vivir en jaurías en estado salvaje.,100,37
263 - A,Se mueve en zigzag. Se le da bien encontrar objetos ocultos en la hierba e incluso enterrados.,40,17.5
263 - B,Se mueve en zigzag. Se le da bien encontrar objetos ocultos en la hierba e incluso enterrados.,40,17.5
264 - A,"En línea recta corre a algo más de 100 km/h, pero no es tan hábil si hay curvas de por medio.",50,32.5
264 - B,"En línea recta corre a algo más de 100 km/h, pero no es tan hábil si hay curvas de por medio.",50,32.5
265 - A,"Le encanta comer hojas. Si le ataca un Starly, se defenderá con sus púas.",30,3.6
266 - A,Se agarra con su seda a las ramas de un árbol y espera su evolución bebiendo agua de lluvia.,60,10
267 - A,Los dibujos de sus coloridas alas son muy peculiares. Liba el néctar de las flores con su fina trompa.,100,28.4
268 - A,"Está formado por seda que se endurece poco a poco. Si se resquebraja el capullo, está a punto de evolucionar.",70,11.5
269 - A,"Pokémon nocturno. Atraído por las luces de la ciudad, se come las hojas y arbustos de las avenidas.",120,31.6
270 - A,Parece una planta acuática. Hace de ferry para los Pokémon que no saben nadar.,50,2.6
271 - A,"Vive en el agua y, cuando hace sol, se queda en la orilla. De día duerme sobre las algas y de noche entra en acción.",120,32.5
272 - A,"Cuando oye música alegre, sus músculos se llenan de energía, y no puede evitar ponerse a bailar.",150,55
273 - A,Se cuelga de las ramas con el extremo de su cabeza. A veces se cae cuando soplan vientos fuertes.,50,4
274 - A,"Cuando usa la hoja de su cabeza como flauta, asusta a la gente. Vive en lo más profundo de los bosques.",100,28
275 - A,Habita los bosques y se le tiene miedo. Es capaz de leer los pensamientos del rival y actuar en consecuencia.,130,59.6
276 - A,Es un Pokémon valiente que no teme a los rivales fuertes. Vuela en busca de climas templados.,30,2.3
277 - A,"Cuando se encuentra bien, pone firmes las plumas de la cola doble que tiene. Remonta el vuelo de forma muy elegante.",70,19.8
278 - A,"Sus largas alas aprovechan los vientos marinos para planear. Cuando descansa, las pliega.",60,9.5
279 - A,Hunde su gran pico en el mar para sacar numerosas presas junto con mucha agua.,120,28
280 - A,"Si sus cuernos perciben emociones positivas de personas o Pokémon, su cuerpo se calienta un poco.",40,6.6
281 - A,"Al percibir la alegría de su Entrenador refuerza sus ataques psicoquinéticos. Cuando está contento, da vueltas y baila.",80,20.2
282 - A,"Para proteger a su Entrenador, emplea todo su poder psíquico en crear un pequeño agujero negro.",160,48.4
283 - A,"Vive en estanques, pero cuando se desata una tormenta puede aparecer en los charcos que se forman en las ciudades.",50,1.7
284 - A,"Sus antenas tienen dibujos de ojos, mientras que sus alas le permiten volar en cualquier dirección.",80,3.6
285 - A,"Prefiere los sitios húmedos. De día está tranquilamente en el bosque, a la sombra. Expulsa polvo tóxico por la cabeza.",40,4.5
286 - A,Sus cortos brazos se expanden cuando da puñetazos. Tiene una técnica pugilística muy depurada.,120,39.2
287 - A,Slakoth se pasa todo el día holgazaneando y solo con verlo a uno le entra mucha pereza.,80,24
288 - A,"Su corazón palpita a un ritmo frenético, haciendo que su sangre bulla, así que no puede estarse quieto ni un segundo.",140,46.5
289 - A,El Pokémon más perezoso del mundo. Cambia de lugar para coger la comida al alcance de su mano.,200,130.5
290 - A,"Como se ha pasado casi toda la vida viviendo bajo tierra, no ve bien. Las antenas que tiene le ayudan a orientarse.",50,5.5
291 - A,Escuchar su zumbido de forma continuada provoca jaquecas. Casi no se le ve de lo rápido que es.,80,12
292 - A,"Es el caparazón de un bicho que cobró vida. Si alguien lo mira por la espalda, le robará el alma.",80,1.2
293 - A,"Normalmente murmulla, pero cuando siente que hay peligro se pone a chillar. Solo para cuando se le cierran las orejas.",60,16.3
294 - A,"Aspira profundamente y luego, usando sus fuertes abdominales, suelta un potente vozarrón.",100,40.5
295 - A,Su aullido se puede oír a 10 km. Emite todo tipo de sonidos desde los tubos de su cuerpo.,150,84
296 - A,Endurece su cuerpo golpeando grandes árboles sin perder jamás el ánimo.,100,86.4
297 - A,"Para aumentar su fuerza, da un pisotón en el suelo. Puede lanzar un camión de 10 toneladas por los aires de un puñetazo.",230,253.8
298 - A,Vive cerca del agua. En la tierra se mueve muy rápido botando sobre su gran cola.,20,2
299 - A,Siempre apunta al norte con su nariz imantada. Con ella reviste su cuerpo de objetos metálicos para protegerse.,100,97
300 - A,No puede evitar ir tras las cosas que se mueven. Hasta corre en círculos persiguiéndose la cola.,60,11
301 - A,No soporta los lugares sucios. Le encanta acicalarse el pelaje cuando está a gusto en un sitio.,110,32.6
302 - A,"Se oculta en cavernas oscuras. De tanto comer gemas, sus ojos son piedras preciosas.",50,11
303 - A,Engaña con su aspecto dócil; hace que el rival se confíe y le da un mordisco con sus enormes e implacables mandíbulas.,60,11.5
304 - A,"Suele vivir en lugares inaccesibles de las montañas, pero el hambre lo empuja a comer raíles y coches.",40,60
305 - A,Le encanta comer hierro. Lucha por su territorio embistiendo a sus rivales con su cuerpo de acero.,90,120
306 - A,"Hacen de toda una montaña su territorio. Cuantas más cicatrices tienen, más curtidos en disputas. ¡Mucha atención!",210,360
307 - A,"Se entrena en la profundidad de las montañas. Cuando aumenta su poder espiritual con meditación, levita.",60,11.2
308 - A,"Evita los ataques moviéndose de forma elegante, como si bailara. Ataca dando un golpe devastador y moviéndose igual.",130,31.5
309 - A,Estimula sus músculos y aumenta sus reflejos con la electricidad que almacena su pelaje.,60,15.2
310 - A,No suele aparecer ante la gente. Dicen que suele colocar su nido donde caen los rayos.,150,40.2
311 - A,Anima a sus compañeros con pompones de chispas. Roba energía de los postes telefónicos.,40,4.2
312 - A,La electricidad de Minun y Plusle es buena para la circulación y para desentumecer músculos.,40,4.2
313 - A,Se comunica con otros iluminando su cola por la noche. Le encanta el suave aroma de Illumise.,70,17.7
314 - A,Con su dulce aroma guía a grupos de Volbeat para que tracen hasta 200 dibujos distintos en el cielo nocturno.,60,17.7
315 - A,"Ataca con sus manos, en las que tiene un tipo de veneno diferente en cada una. Cuanto más aroma, mejor salud tiene.",30,2
316 - A,Sus sesos y corazón son diminutos; es casi todo estómago. Sus jugos gástricos disuelven lo que sea.,40,10.3
317 - A,Se traga cualquier cosa de una pieza. Sus poros segregan fluidos tóxicos que dañan a sus enemigos.,170,80
318 - A,Atacan en grupo a los barcos y los hunden a base de bocados. Habitan en los ríos de la jungla.,80,20.8
319 - A,Con sus colmillos puede atravesar el acero. Nada a 120 km/h. Le llaman el Terror de los Mares.,180,88.8
320 - A,"Le gusta botar como una pelota de playa. Cuanta más agua de mar traga, más alto puede llegar.",200,130
321 - A,Puede dejar fuera de combate a sus oponentes con el impacto de su enorme cuerpo al caer en el agua tras un salto.,1450,398
322 - A,En su joroba almacena magma ardiente que se enfría cuando llueve y lo ralentiza.,70,24
323 - A,Los volcanes de su joroba entran en erupción cada 10 años o cuando Camerupt se enfada mucho.,190,220
324 - A,Trabaja sin descanso en minas en desuso localizando y extrayendo carbón.,50,80.4
325 - A,Bota continuamente usando su cola como muelle. Salta para mantener el latido de su corazón.,70,30.6
326 - A,Las perlas negras aumentan sus poderes psíquicos. Controla las mentes de sus rivales con un extraño baile.,90,71.5
327 - A,No hay dos Spinda que tengan idénticos pelajes. Su tambaleo al bailar confunde a los rivales.,110,5
328 - A,"Habita desiertos áridos. Cava fosas profundas, en las que espera que caiga su presa.",70,15
329 - A,"Al agitar a gran velocidad ambas alas, emite ondas ultrasónicas que provocan fuertes dolores de cabeza.",110,15.3
330 - A,"Su medio es el desierto. Para esconderse, levanta arena con las patas. Tiene los ojos protegidos con mallas rojas.",200,82
331 - A,"Vive en regiones secas y con pocas lluvias. Una vez al año, le brota una flor amarilla.",40,51.3
332 - A,Es un Pokémon nocturno. Busca presas agotadas por el calor diurno del desierto.,130,77.4
333 - A,"Se desconoce el porqué, pero le encanta posarse sobre la cabeza de los humanos y fingir que es un gorro.",40,1.2
334 - A,Vuela pausadamente por el cielo azul. Su hermoso trino cautiva a todo aquel que lo escucha.,110,20.6
335 - A,Hace muchos años que se enfrenta a Seviper. Su arma más eficaz son sus zarpas afiladas.,130,40.3
336 - A,"Hace frente a Zangoose con su agilidad y su afilada cola, que está cargada con un veneno letal.",270,52.5
337 - A,"Se piensa que está muy influido por las fases lunares, ya que solo actúa en noches de luna llena.",100,168
338 - A,"Usa el sol como fuente de energía, por lo que es más poderoso de día. Brilla al rotar.",120,154
339 - A,Recubre su cuerpo de una película viscosa que le permite escapar si alguien lo agarra.,40,1.9
340 - A,"Habita en grandes pantanos. Si se acerca un enemigo, se alborota y causa temblores monumentales.",90,23.6
341 - A,"Por sucio o contaminado que esté el río, se adaptan rápido y se multiplican. Poseen una gran fuerza vital.",60,11.5
342 - A,Este malandrín usa sus pinzas para atosigar y expulsar a los otros Pokémon que viven en su estanque.,110,32.8
343 - A,Se mueve girando sobre su eje. También se le puede ver girando cabeza abajo.,50,21.5
344 - A,Este Pokémon es una vieja figurilla de barro que cobró vida mediante la exposición a extraños rayos de luz.,150,108
345 - A,Se extinguió hace 100 millones de años. Sus tentáculos parecen pétalos para atraer a sus presas.,100,23.8
346 - A,Vive en el fondo de los mares de aguas templadas. Emerge para cazar cuando baja la marea.,150,60.4
347 - A,"Es una especie de Pokémon predecesor. Estira las pinzas para cazar a sus presas, que se esconden en las rocas del mar.",70,12.5
348 - A,Ensarta a sus presas con sus gigantescas garras elásticas. Una fuerte coraza cubre su cuerpo.,150,68.2
349 - A,"Come de todo, por lo que puede vivir en aguas contaminadas. Nadie le presta atención.",60,7.4
350 - A,"Milotic es impresionantemente bello. Quienes lo ven, temen perder las ganas de luchar contra él.",620,162
351 - A,Sus células son muy sensibles a los cambios de temperatura y humedad y se adapta sin problema.,30,0.8
351 - B,Sus células son muy sensibles a los cambios de temperatura y humedad y se adapta sin problema.,30,0.8
351 - C,Sus células son muy sensibles a los cambios de temperatura y humedad y se adapta sin problema.,30,0.8
351 - D,Sus células son muy sensibles a los cambios de temperatura y humedad y se adapta sin problema.,30,0.8
352 - A,"Puede mudar el color de su cuerpo a voluntad, pero el dibujo en zigzag de su panza nunca desaparece.",100,22
353 - A,Dicen que con su cuerno se alimenta de sentimientos de celos y envidia. Es muy activo a medianoche.,60,2.3
354 - A,Este muñeco se convirtió en un Pokémon cuando lo tiraron a la basura. Busca a su antiguo dueño.,110,12.5
355 - A,"Persigue a su presa sin descanso allá donde vaya. No obstante, abandona la caza al amanecer.",80,15
356 - A,"Si alguien mira los fuegos fatuos del interior de Dusclops, perderá su alma irremediablemente.",160,30.6
357 - A,Puede volar al agitar sus grandes hojas. Reparte entre los niños la codiciada fruta dulce que crece de su cuello.,200,100
358 - A,Se cuelga de ramas y aleros con la ventosa de su cabeza. Tiene siete tipos de gritos diferentes.,60,1
359 - A,Presiente desastres inminentes y se aparece a la gente para advertir del peligro.,120,47
360 - A,Suelen ir en grupo y a la hora de dormir se resguardan en una cueva.,60,14
361 - A,Se dice que se reúnen en grupos bajo hojas gigantescas y viven allí en total armonía.,70,16.8
362 - A,Se protege con una armadura de hielo creada por congelación de la humedad del aire.,150,256.5
363 - A,"Como no saben nadar muy bien, se mueven rápidamente rodando. Cuando están alegres, dan palmadas con las aletas.",80,39.5
364 - A,"Su nariz es muy sensible. Cuando ve algo por primera vez, lo toca con ella para recordarlo después.",110,87.6
365 - A,Rompe el hielo con sus colmillos. Su gruesa capa de grasa le protege del frío y de los enemigos.,140,150.6
366 - A,Produce durante su vida una sola perla que aumenta los poderes psíquicos al evolucionar.,40,52.5
367 - A,"Vive en los abismos marinos, donde no se filtra la luz. Tiene una cola en forma de pez, que enciende para atraer a su presa.",170,27
368 - A,"Vive en el fondo del mar. En primavera, su cuerpo rosado adquiere colores más vivos.",180,22.6
369 - A,No ha sufrido ningún cambio desde hace 100 millones de años. Fue descubierto durante una expedición marina.,100,23.4
370 - A,"Vive en mares cálidos. Se dice que, si una pareja lo encuentra, será bendecida con amor eterno.",60,8.7
371 - A,Su desarrollado cuello y su cabeza dura como el acero le permiten reducir a añicos rocas enormes.,60,42.1
372 - A,"Las células han empezado a cambiar dentro de su dura concha, que se separa cuando evoluciona.",110,110.5
373 - A,"Si se enfada, no hay forma de calmarlo; lo destruye todo lanzando arañazos y llamas.",150,102.6
374 - A,"Los pulsos magnéticos de su cuerpo repelen la gravedad, lo que le permite flotar en el aire.",60,95.2
375 - A,Lo forman dos Beldum unidos. Puede chocarse con un avión sin que su cuerpo de acero sufra ni un rasguño.,120,202.5
376 - A,"Gracias a sus cuatro cerebros, es más inteligente que un superordenador y analiza con precisión al enemigo.",160,550
377 - A,"Su cuerpo está hecho de roca. Si se astilla durante el combate, emplea piedras para repararlo.",170,230
378 - A,Dicen que ha yacido durmiendo en un glaciar durante milenios. Ni el magma puede derretir su cuerpo.,180,175
379 - A,Su cuerpo ha estado sometido a la presión subterránea durante miles de años y no puede arañarse.,190,205
380 - A,"Se comunica por telepatía. Su plumaje refleja la luz, lo que le permite hacerse invisible.",140,40
381 - A,Es un Pokémon muy inteligente. Puede adelantar a aviones a reacción plegando las alas.,200,60
382 - A,Pokémon legendario que aumentó los mares con diluvios y maremotos. Fue un enemigo acérrimo de Groudon.,450,352
382 - B,Pokémon legendario que aumentó los mares con diluvios y maremotos. Fue un enemigo acérrimo de Groudon.,980,430
383 - A,Dicen que este Pokémon legendario simboliza la tierra. Tras batirse en duelo con Kyogre se echó a dormir.,350,950
383 - B,Dicen que este Pokémon legendario simboliza la tierra. Tras batirse en duelo con Kyogre se echó a dormir.,500,999.7
384 - A,Vive en la capa de ozono sobre las nubes y no puede ser visto desde el suelo.,700,206.5
385 - A,Desde antaño se dice que concederá los deseos escritos en las notas de su cabeza cuando se despierte.,30,1.1
386 - A,Surgió a raíz de la mutación de ADN de un virus alienígena que cayó a la Tierra en un meteorito.,170,60.8
386 - B,Surgió a raíz de la mutación de ADN de un virus alienígena que cayó a la Tierra en un meteorito.,170,60.8
386 - C,Surgió a raíz de la mutación de ADN de un virus alienígena que cayó a la Tierra en un meteorito.,170,60.8
386 - D,Surgió a raíz de la mutación de ADN de un virus alienígena que cayó a la Tierra en un meteorito.,170,60.8
387 - A,Realiza la fotosíntesis al bañarle los rayos de sol. Su concha está formada por tierra endurecida.,40,10.2
388 - A,"Vive en los bosques cerca del agua. Por el día, sale a que les dé el sol a las plantas de su espalda.",110,97
389 - A,Las gentes de antaño creían que el planeta se sustentaba en la espalda de un gran Torterra.,220,310
390 - A,"El gas de su panza alimenta el fuego de su parte trasera, que ni la lluvia puede extinguir.",50,6.2
391 - A,Controla hábilmente la intensidad del fuego de su cola para mantener al enemigo a una distancia ideal.,90,22
392 - A,Su corona de fuego demuestra su naturaleza ígnea. Nadie le gana en velocidad.,120,55
393 - A,"No le gusta que lo cuiden. Como no aprecia el apoyo de su Entrenador, le cuesta coger confianza con él.",40,5.2
394 - A,"Vive solo, alejado de los demás. Cada uno piensa que es el más importante.",80,23
395 - A,Nada tan rápido como un fueraborda. Con los afilados bordes de sus alas puede cortar el hielo.,170,84.5
396 - A,"Viaja en grandes bandadas. Aunque es pequeño, agita las alas con gran fuerza.",30,2
397 - A,Vive siempre en grandes grupos y las disputas dentro de ellos son muy intensas.,60,15.5
398 - A,Sus alas y sus patas son muy fuertes. Puede llevarse volando Pokémon pequeños.,120,24.9
399 - A,Tiene nervios de acero y nada puede perturbarlo. Es más ágil y activo de lo que aparenta.,50,20
400 - A,Con sus incisivos roe ramas y raíces y las apila para construir sus madrigueras junto al río.,100,31.5
401 - A,Hablan entre sí chocando las antenas. Los sonidos producidos son muy característicos.,30,2.2
402 - A,"Cuando llora, cruza sus brazos con forma de cuchillo. Puede improvisar melodías.",100,25.5
403 - A,La extensión y contracción de sus músculos genera electricidad. Brilla cuando está en peligro.,50,9.5
404 - A,Sus garras emiten electricidad que puede debilitar a sus rivales. Viven en grupos pequeños.,90,30.5
405 - A,"Cuando sus ojos brillan como el oro, puede ver presas escondidas, incluso detrás de un muro.",140,42
406 - A,Vive cerca de aguas cristalinas. Su cabello se abre y esparce polen cuando le bañan los rayos del sol.,20,1.2
407 - A,Atrae a sus presas con una dulce fragancia y usa sus cepas venenosas para atenazarlas y acabar con ellas.,90,14.5
408 - A,Fue recreado a partir de un fósil con forma esférica. Derriba a las presas a cabezazos.,90,31.5
409 - A,"Tiene sesos pequeños porque su duro cráneo, que soporta cualquier golpe, les impide desarrollarse.",160,102.5
410 - A,Se abrillanta la cara frotándola contra los árboles. Es vulnerable a los ataques por la espalda.,50,57
411 - A,Se alineaban y creaban una barrera que ningún enemigo podía cruzar. Así protegían a sus crías.,130,149.5
412 - A,"Para protegerse de los vientos fríos invernales, se cubre con un caparazón de ramas y hojas.",20,3.4
413 - A,Su apariencia varía según dónde evolucione. Los materiales que haya pasan a formar parte de su cuerpo.,50,6.5
413 - B,Su apariencia varía según dónde evolucione. Los materiales que haya pasan a formar parte de su cuerpo.,50,6.5
413 - C,Su apariencia varía según dónde evolucione. Los materiales que haya pasan a formar parte de su cuerpo.,50,6.5
414 - A,Le encanta la miel de las flores y roba la que recoge Combee.,90,23.3
415 - A,El trío se forma al nacer y se pasa la vida recogiendo miel de las flores para satisfacer a Vespiquen.,30,5.5
416 - A,Cría larvas en los panales de su cuerpo. Segrega diversas feromonas de su cuerpo con las cuales controla a sus crías.,120,38.5
417 - A,Crea bolas de pelo que crepitan con electricidad estática. Las almacena en agujeros de árboles.,40,3.9
418 - A,"Nada rotando sus dos colas a modo de tornillo. Cuando bucea, el flotador se pliega.",70,29.5
419 - A,Nada gracias a su flotador. Ayuda en los rescates de gente que se está ahogando.,110,33.5
420 - A,Bajo la luz solar es rojo. La esfera pequeña pierde sus nutrientes y se seca para anunciar la evolución.,40,3.3
421 - A,"Cuando los rayos de sol inundan su capullo, abre de par en par sus pétalos y se vuelve muy dinámico.",50,9.3
422 - A,"No hay que apretarle muy fuerte, ya que, si lo haces, secreta un misterioso fluido morado.",30,6.3
423 - A,"Si se ve amenazado por sus enemigos naturales, segrega un líquido morado y huye rápidamente.",90,29.9
424 - A,"Habitan en grandes colonias y forman anillos uniendo sus colas, aparentemente en signo de amistad.",120,20.3
425 - A,Está formado por los espíritus de personas y Pokémon. Le encantan las estaciones húmedas.,40,1.2
426 - A,"Transporta a gente y a Pokémon volando, pero, como se deja llevar, puede acabar en cualquier sitio.",120,15
427 - A,"Lleva las orejas enrolladas. Cuando las extiende, golpea con tal fuerza que incluso puede romper rocas.",40,5.5
428 - A,"Este Pokémon resulta muy precavido. Si siente peligro, escapa corriendo a grandes saltos.",120,33.3
429 - A,"Recita cánticos. Algunos de ellos atormentan a sus rivales, mientras que otros producen felicidad.",90,4.4
430 - A,"Si uno lanza un grito profundo, los demás acuden. Por eso se le llama también Invocador de la Noche.",90,27.3
431 - A,Araña cuando está enfadado y ronronea cuando está cariñoso. Su imprevisibilidad es famosa.,50,3.9
432 - A,"Si se siente a gusto, no tiene ningún reparo en apropiarse de las moradas de otros Pokémon.",100,43.8
433 - A,Emite un tintineo cada vez que salta. Ensordece a sus rivales con sonidos de alta frecuencia.,20,0.6
434 - A,Expulsa un fluido maloliente por sus cuartos traseros. El hedor repele Pokémon en un radio de 2 km.,40,19.2
435 - A,"Para atacar, emite un fluido maloliente por la punta de su cola que puede llegar a más de 50 m.",100,38
436 - A,"Se dice que brilla y refleja la verdad al pulirlo, aunque es algo que detesta.",50,60.5
437 - A,Desde antaño se adora a este Pokémon para que propicie lluvias abundantes. A veces se esconde bajo tierra.,130,187
438 - A,Prefiere entornos áridos. Sus ojos expulsan agua para ajustar los niveles de fluido corporal.,50,15
439 - A,Desconcierta a sus rivales imitando sus movimientos a la perfección y aprovecha para darse a la fuga.,60,13
440 - A,Les da a sus amigos una roca con forma de huevo que transporta en la bolsa de su panza.,60,24.4
441 - A,"Imita los sonidos de sus rivales, haciéndoles creer que son amigos e impidiendo que le ataquen.",50,1.9
442 - A,Se formó a partir de 108 espíritus. Está unido a la fisura de una piedra angular mística.,100,108
443 - A,"Vive en agujeros en las cuevas, al amparo del calor geotérmico. Si se acerca un enemigo, le muerde.",70,20.5
444 - A,Le gustan las cosas brillantes. Busca tesoros en cuevas y se lleva el botín a su nido.,140,56
445 - A,"Cuando despliega su cuerpo y sus alas, parece un avión a reacción. Vuela a velocidad sónica.",190,95
446 - A,"Esconde comida bajo el largo pelo de su cuerpo, pero más tarde lo olvida.",60,105
447 - A,Se comunica con los suyos mediante la emisión de unas ondas que cambian de forma en función de los sentimientos.,70,20.2
448 - A,Puede leer los pensamientos y movimientos de su adversario a través de su aura.,120,54
449 - A,"Vive en zonas áridas. En lugar de sudar, su cuerpo expulsa granos de arena.",80,49.5
450 - A,Hace gala de su fuerza abriendo su enorme boca. Para atacar levanta gran cantidad de arena.,200,300
451 - A,Agarra a sus presas con las pinzas de la cola y les inyecta veneno. Espera hasta que hace efecto.,80,12
452 - A,"Aunque sabe que puede aplastar al rival con su gran fuerza, le gusta dar el golpe de gracia con su virulento veneno.",130,61.5
453 - A,Tiene bolsas venenosas en las mejillas. Pilla desprevenidos a sus rivales para pincharles.,70,23
454 - A,"Almacena veneno en una bolsa de la garganta. Cuando croa, este se agita para lograr mayor potencia.",130,44.4
455 - A,Atrae a sus presas con saliva de olor dulce y las mastica. Tarda todo un día en comérselas.,140,27
456 - A,La línea que le recorre el costado puede almacenar luz solar. Brilla con mucha fuerza por la noche.,40,7
457 - A,Vive en las profundidades marinas. Atrae a sus presas con parpadeos del dibujo de sus cuatro aletas.,120,24
458 - A,Los símbolos de su espalda cambian según la región. A veces se mezcla con bancos de Remoraid y nada junto a ellos.,100,65
459 - A,"En las estaciones frías baja al pie de la montaña, pero regresa a las cimas nevadas en primavera.",100,50.5
460 - A,Genera ventiscas con las que cubre de nieve grandes áreas. Se le llama el Monstruo de Hielo.,220,135.5
461 - A,Vive en zonas nevadas. Deja marcas en los árboles con sus garras para comunicarse con sus compañeros.,110,34
462 - A,Emiten campos magnéticos tan potentes que se atraen entre sí e incluso pueden llegar a inmovilizarse.,120,180
463 - A,"Agarra cosas con su lengua extensible. Si te acercas mucho, te deja lleno de babas.",170,140
464 - A,Lanza Geodude por los agujeros de las manos. Gracias a Protector resiste erupciones volcánicas.,240,282.8
465 - A,"Atrapa a su presa desplegando las ramas de sus brazos, que no le importa perder ante depredadores.",200,128.6
466 - A,"Al almacenar mucha electricidad, desprende chispas de una claridad increíble entre sus dos cuernos.",180,138.6
467 - A,Sus brazos disparan bolas de fuego de más de 2000 °C. Vive en cráteres volcánicos.,160,68
468 - A,Se dice que aparece en zonas pacíficas y las bendice con sus dones.,150,38
469 - A,Su técnica favorita consiste en volar a gran velocidad y despedazar con su mandíbula a su oponente en un instante.,190,51.5
470 - A,"En días soleados duerme y hace la fotosíntesis, emitiendo aire puro a su alrededor.",100,25.5
471 - A,Controla su temperatura corporal para congelar el ambiente y causar ráfagas de nieve en polvo.,80,25.9
472 - A,"Espera a sus presas colgado de una rama bocabajo. Cuando llega su oportunidad, se lanza en picado.",200,42.5
473 - A,Ya existía en la antigüedad. Se encontró uno bajo hielo de hace más de 10 000 años.,250,291
474 - A,"Se le instaló un software para mejorarlo. Sin embargo, comenzó a comportarse de manera extraña.",90,34
475 - A,Puede presentir los movimientos de sus rivales y por eso ataca siempre antes que ellos.,160,52
476 - A,Emana un fuerte magnetismo. Controla tres pequeñas unidades llamadas mininarices.,140,340
477 - A,Se dice que recoge en su cuerpo flexible a los espíritus extraviados y los guía hasta casa.,220,106.6
478 - A,Congela a sus enemigos con un aliento gélido de -50 °C. Su cuerpo está hueco.,130,26.6
479 - A,Desde hace mucho tiempo se estudia su singular motor como fuente de energía motriz.,30,0.3
479 - B,Desde hace mucho tiempo se estudia su singular motor como fuente de energía motriz.,30,0.3
479 - C,Desde hace mucho tiempo se estudia su singular motor como fuente de energía motriz.,30,0.3
479 - D,Desde hace mucho tiempo se estudia su singular motor como fuente de energía motriz.,30,0.3
479 - E,Desde hace mucho tiempo se estudia su singular motor como fuente de energía motriz.,30,0.3
479 - F,Desde hace mucho tiempo se estudia su singular motor como fuente de energía motriz.,30,0.3
480 - A,Se le conoce como el Ser de la Sabiduría. Se dice que puede borrar la memoria con una mirada.,30,0.3
481 - A,Se le conoce como el Ser de la Emoción. Enseñó a los humanos la nobleza del dolor y la alegría.,30,0.3
482 - A,Se le conoce como el Ser de la Voluntad. Duerme en el fondo de un lago para equilibrar el mundo.,30,0.3
